Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
257,Caris LeVert\leverca01,SF,24,BRK,14,14,29.7,6.9,14.6,.475,1.4,4.4,.311,5.6,10.2,.545,.522,3.1,4.4,.721,1.0,3.3,4.3,3.7,1.2,0.4,2.1,2.4,18.4
258,Damian Lillard\lillada01,PG,28,POR,22,22,35.1,8.7,19.7,.440,3.0,8.1,.365,5.7,11.6,.492,.515,6.3,7.0,.890,0.8,4.3,5.1,6.1,0.8,0.4,2.4,1.6,26.6
259,Jeremy Lin\linje01,PG,30,ATL,21,0,18.9,3.7,7.3,.506,1.2,3.0,.419,2.5,4.4,.565,.591,2.6,3.0,.844,0.2,2.1,2.3,3.1,0.9,0.1,2.1,2.0,11.2
260,Shaun Livingston\livinsh01,PG,33,GSW,14,0,16.5,2.0,4.6,.438,0.0,0.1,.000,2.0,4.5,.444,.438,1.1,1.4,.800,1.0,1.2,2.2,2.2,0.6,0.5,0.5,1.3,5.1
261,Zach Lofton\loftoza01,SG,26,DET,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
262,Kevon Looney\looneke01,C,22,GSW,23,2,18.9,2.3,3.9,.607,0.0,0.1,.000,2.3,3.7,.628,.607,1.2,1.8,.683,2.5,2.8,5.3,1.7,0.3,0.8,0.8,2.7,5.9
263,Brook Lopez\lopezbr01,C,30,MIL,21,21,27.3,4.0,9.5,.427,2.5,6.8,.364,1.6,2.7,.589,.558,1.0,1.1,.913,0.4,3.4,3.8,1.1,0.3,1.7,0.9,2.3,11.6
264,Robin Lopez\lopezro01,C,30,CHI,17,0,17.1,2.4,4.5,.539,0.1,0.4,.286,2.3,4.1,.565,.553,0.4,0.6,.700,1.1,1.0,2.1,1.2,0.2,1.0,1.3,2.1,5.4
265,Kevin Love\loveke01,PF,30,CLE,4,4,34.0,5.3,16.3,.323,1.8,6.0,.292,3.5,10.3,.341,.377,6.8,8.3,.818,2.5,11.0,13.5,3.5,0.3,0.3,2.5,3.5,19.0
266,Kyle Lowry\lowryky01,PG,32,TOR,23,23,34.1,5.3,11.7,.454,2.3,6.4,.358,3.0,5.3,.570,.552,2.5,3.0,.826,0.6,3.9,4.5,10.3,1.3,0.3,2.7,2.2,15.4
267,Jordan Loyd\loydjo01,PG,25,TOR,3,0,5.7,1.0,1.0,1.000,0.7,0.7,1.000,0.3,0.3,1.000,1.333,1.3,1.3,1.000,0.3,1.3,1.7,0.3,0.0,0.0,0.3,0.7,4.0
